"id","code","name","city_id"
"399","150623","鄂托克前旗","722"
"400","150624","鄂托克旗","722"
"401","150625","杭锦旗","722"
"402","150626","乌审旗","722"
"403","150627","伊金霍洛旗","722"
"404","150701","市辖区","723"
"405","150702","海拉尔区","723"
"406","150721","阿荣旗","723"
"407","150722","莫力达瓦达斡尔族自治旗","723"
"408","150723","鄂伦春自治旗","723"
"409","150724","鄂温克族自治旗","723"
"410","150725","陈巴尔虎旗","723"
"411","150726","新巴尔虎左旗","723"
"412","150727","新巴尔虎右旗","723"
"413","150781","满洲里市","723"
"414","150782","牙克石市","723"
"415","150783","扎兰屯市","723"
"416","150784","额尔古纳市","723"
"417","150785","根河市","723"
"418","150801","市辖区","724"
"419","150802","临河区","724"
"420","150821","五原县","724"
"421","150822","磴口县","724"
"422","150823","乌拉特前旗","724"
"423","150824","乌拉特中旗","724"
"424","150825","乌拉特后旗","724"
"425","150826","杭锦后旗","724"
"426","150901","市辖区","725"
"427","150902","集宁区","725"
"428","150921","卓资县","725"
"429","150922","化德县","725"
"430","150923","商都县","725"
"431","150924","兴和县","725"
"432","150925","凉城县","725"
"433","150926","察哈尔右翼前旗","725"
"434","150927","察哈尔右翼中旗","725"
"435","150928","察哈尔右翼后旗","725"
"436","150929","四子王旗","725"
"437","150981","丰镇市","725"
"438","152201","乌兰浩特市","726"
"439","152202","阿尔山市","726"
"440","152221","科尔沁右翼前旗","726"
"441","152222","科尔沁右翼中旗","726"
"442","152223","扎赉特旗","726"
"443","152224","突泉县","726"
"444","152501","二连浩特市","727"
"445","152502","锡林浩特市","727"
"446","152522","阿巴嘎旗","727"
"447","152523","苏尼特左旗","727"
"448","152524","苏尼特右旗","727"
"449","152525","东乌珠穆沁旗","727"
"450","152526","西乌珠穆沁旗","727"
"451","152527","太仆寺旗","727"
"452","152528","镶黄旗","727"
"453","152529","正镶白旗","727"
"454","152530","正蓝旗","727"
"455","152531","多伦县","727"
"456","152921","阿拉善左旗","728"
"457","152922","阿拉善右旗","728"
"458","152923","额济纳旗","728"
"459","210101","市辖区","729"
"460","210102","和平区","729"
"461","210103","沈河区","729"
"462","210104","大东区","729"
"463","210105","皇姑区","729"
"464","210106","铁西区","729"
"465","210111","苏家屯区","729"
"466","210112","东陵区","729"
"467","210113","新城子区","729"
"468","210114","于洪区","729"
"469","210122","辽中县","729"
"470","210123","康平县","729"
"471","210124","法库县","729"
"472","210181","新民市","729"
"473","210201","市辖区","730"
"474","210202","中山区","730"
"475","210203","西岗区","730"
"476","210204","沙河口区","730"
"477","210211","甘井子区","730"
"478","210212","旅顺口区","730"
"479","210213","金州区","730"
"480","210224","长海县","730"
"481","210281","瓦房店市","730"
"482","210282","普兰店市","730"
"483","210283","庄河市","730"
"484","210301","市辖区","731"
"485","210302","铁东区","731"
"486","210303","铁西区","731"
"487","210304","立山区","731"
"488","210311","千山区","731"
"489","210321","台安县","731"
"490","210323","岫岩满族自治县","731"
"491","210381","海城市","731"
"492","210401","市辖区","732"
"493","210402","新抚区","732"
"494","210403","东洲区","732"
"495","210404","望花区","732"
"496","210411","顺城区","732"
"497","210421","抚顺县","732"
"498","210422","新宾满族自治县","732"
"499","210423","清原满族自治县","732"
"500","210501","市辖区","733"
"501","210502","平山区","733"
"502","210503","溪湖区","733"
"503","210504","明山区","733"
"504","210505","南芬区","733"
"505","210521","本溪满族自治县","733"
